plots,block,treatment,cultivar,graft
101,1,1,5608,none
102,1,2,5608,standard
103,1,6,8504,tall
104,1,5,8504,standard
105,1,4,8504,none
106,1,3,5608,tall
201,2,4,8504,none
202,2,6,8504,tall
203,2,1,5608,none
204,2,3,5608,tall
205,2,5,8504,standard
206,2,2,5608,standard
301,3,5,8504,standard
302,3,4,8504,none
303,3,2,5608,standard
304,3,1,5608,none
305,3,3,5608,tall
306,3,6,8504,tall
401,4,6,8504,tall
402,4,2,5608,standard
403,4,4,8504,none
404,4,1,5608,none
405,4,5,8504,standard
406,4,3,5608,tall
501,5,3,5608,tall
502,5,2,5608,standard
503,5,6,8504,tall
504,5,5,8504,standard
505,5,1,5608,none
506,5,4,8504,none
601,6,6,8504,tall
602,6,1,5608,none
603,6,2,5608,standard
604,6,3,5608,tall
605,6,4,8504,none
606,6,5,8504,standard
