exp_unit	trt	plots	block	trt_let	cultivar	graft	inoculum
5	1	104	1	A	8504	Maxi	0
7	1	212	2	A	8504	Maxi	0
1	1	304	3	A	8504	Maxi	0
4	1	401	4	A	8504	Maxi	0
3	1	515	5	A	8504	Maxi	0
2	1	605	6	A	8504	Maxi	0
8	1	711	7	A	8504	Maxi	0
6	1	806	8	A	8504	Maxi	0
68	2	105	1	B	8504	Maxi	5
66	2	202	2	B	8504	Maxi	5
67	2	313	3	B	8504	Maxi	5
71	2	405	4	B	8504	Maxi	5
72	2	511	5	B	8504	Maxi	5
69	2	610	6	B	8504	Maxi	5
70	2	715	7	B	8504	Maxi	5
65	2	805	8	B	8504	Maxi	5
75	3	111	1	C	8504	Maxi	10
77	3	209	2	C	8504	Maxi	10
74	3	302	3	C	8504	Maxi	10
79	3	414	4	C	8504	Maxi	10
78	3	507	5	C	8504	Maxi	10
76	3	613	6	C	8504	Maxi	10
73	3	714	7	C	8504	Maxi	10
80	3	804	8	C	8504	Maxi	10
81	4	101	1	D	8504	Maxi	20
88	4	215	2	D	8504	Maxi	20
83	4	316	3	D	8504	Maxi	20
85	4	415	4	D	8504	Maxi	20
87	4	502	5	D	8504	Maxi	20
86	4	612	6	D	8504	Maxi	20
84	4	702	7	D	8504	Maxi	20
82	4	809	8	D	8504	Maxi	20
96	5	114	1	E	8504	none	0
95	5	210	2	E	8504	none	0
92	5	301	3	E	8504	none	0
90	5	404	4	E	8504	none	0
94	5	513	5	E	8504	none	0
93	5	615	6	E	8504	none	0
91	5	705	7	E	8504	none	0
89	5	811	8	E	8504	none	0
104	6	107	1	F	8504	none	5
98	6	214	2	F	8504	none	5
99	6	306	3	F	8504	none	5
102	6	410	4	F	8504	none	5
100	6	510	5	F	8504	none	5
103	6	606	6	F	8504	none	5
101	6	712	7	F	8504	none	5
97	6	803	8	F	8504	none	5
111	7	112	1	G	8504	none	10
107	7	201	2	G	8504	none	10
105	7	307	3	G	8504	none	10
110	7	412	4	G	8504	none	10
106	7	506	5	G	8504	none	10
108	7	604	6	G	8504	none	10
109	7	703	7	G	8504	none	10
112	7	801	8	G	8504	none	10
117	8	106	1	H	8504	none	20
115	8	213	2	H	8504	none	20
114	8	314	3	H	8504	none	20
113	8	413	4	H	8504	none	20
119	8	516	5	H	8504	none	20
116	8	611	6	H	8504	none	20
120	8	716	7	H	8504	none	20
118	8	808	8	H	8504	none	20
128	9	108	1	I	5608	Maxi	0
125	9	204	2	I	5608	Maxi	0
124	9	303	3	I	5608	Maxi	0
121	9	416	4	I	5608	Maxi	0
123	9	508	5	I	5608	Maxi	0
127	9	608	6	I	5608	Maxi	0
126	9	706	7	I	5608	Maxi	0
122	9	814	8	I	5608	Maxi	0
13	10	116	1	J	5608	Maxi	5
11	10	205	2	J	5608	Maxi	5
14	10	310	3	J	5608	Maxi	5
10	10	402	4	J	5608	Maxi	5
16	10	512	5	J	5608	Maxi	5
12	10	603	6	J	5608	Maxi	5
9	10	701	7	J	5608	Maxi	5
15	10	815	8	J	5608	Maxi	5
17	11	103	1	K	5608	Maxi	10
21	11	206	2	K	5608	Maxi	10
24	11	309	3	K	5608	Maxi	10
22	11	411	4	K	5608	Maxi	10
19	11	503	5	K	5608	Maxi	10
23	11	601	6	K	5608	Maxi	10
18	11	704	7	K	5608	Maxi	10
20	11	810	8	K	5608	Maxi	10
25	12	102	1	L	5608	Maxi	20
28	12	203	2	L	5608	Maxi	20
26	12	312	3	L	5608	Maxi	20
31	12	406	4	L	5608	Maxi	20
29	12	504	5	L	5608	Maxi	20
32	12	614	6	L	5608	Maxi	20
30	12	709	7	L	5608	Maxi	20
27	12	816	8	L	5608	Maxi	20
37	13	115	1	M	5608	none	0
33	13	208	2	M	5608	none	0
36	13	315	3	M	5608	none	0
38	13	408	4	M	5608	none	0
34	13	501	5	M	5608	none	0
40	13	609	6	M	5608	none	0
35	13	708	7	M	5608	none	0
39	13	813	8	M	5608	none	0
48	14	109	1	N	5608	none	5
46	14	207	2	N	5608	none	5
44	14	308	3	N	5608	none	5
45	14	403	4	N	5608	none	5
42	14	505	5	N	5608	none	5
41	14	602	6	N	5608	none	5
43	14	707	7	N	5608	none	5
47	14	812	8	N	5608	none	5
55	15	113	1	O	5608	none	10
52	15	211	2	O	5608	none	10
49	15	305	3	O	5608	none	10
51	15	407	4	O	5608	none	10
53	15	509	5	O	5608	none	10
56	15	607	6	O	5608	none	10
50	15	710	7	O	5608	none	10
54	15	802	8	O	5608	none	10
64	16	110	1	P	5608	none	20
61	16	216	2	P	5608	none	20
63	16	311	3	P	5608	none	20
60	16	409	4	P	5608	none	20
58	16	514	5	P	5608	none	20
62	16	616	6	P	5608	none	20
59	16	713	7	P	5608	none	20
57	16	807	8	P	5608	none	20
