plant,block,plot,A,B,C,D,E,F,G
53,1,1,-,-,-,-,-,-,-
52,1,1,-,-,-,-,-,-,-
14,1,1,-,-,-,-,-,-,-
53,1,3,-,-,-,-,-,-,-
53,1,5,-,-,-,-,-,-,-
33,1,5,-,-,-,-,-,-,-
53,1,6,-,-,-,-,-,-,-
52,1,6,-,-,-,-,-,-,-
24,1,6,-,-,-,-,-,-,-
5,1,6,-,-,-,-,-,-,-
53,2,1,-,-,-,-,-,-,-
52,2,1,-,-,-,-,-,-,-
51,2,1,-,-,-,-,-,-,-
53,2,2,-,-,-,-,-,-,-
53,2,3,-,-,-,-,-,-,-
52,2,3,-,-,-,-,-,-,-
29,2,3,-,-,-,-,-,-,-
53,2,4,-,-,-,-,-,-,-
53,2,5,-,-,-,-,-,-,-
52,2,5,-,-,-,-,-,-,-
51,2,5,-,-,-,-,-,-,-
50,2,5,-,-,-,-,-,-,-
49,2,5,-,-,-,-,-,-,-
48,2,5,-,-,-,-,-,-,-
47,2,5,-,-,-,-,-,-,-
46,2,5,-,-,-,-,-,-,-
45,2,5,-,-,-,-,-,-,-
44,2,5,-,-,-,-,-,-,-
43,2,5,-,-,-,-,-,-,-
42,2,5,-,-,-,-,-,-,-
41,2,5,-,-,-,-,-,-,-
40,2,5,-,-,-,-,-,-,-
39,2,5,-,-,-,-,-,-,-
38,2,5,-,-,-,-,-,-,-
37,2,5,-,-,-,-,-,-,-
36,2,5,-,-,-,-,-,-,-
35,2,5,-,-,-,-,-,-,-
34,2,5,-,-,-,-,-,-,-
33,2,5,-,-,-,-,-,-,-
32,2,5,-,-,-,-,-,-,-
31,2,5,-,-,-,-,-,-,-
30,2,5,-,-,-,-,-,-,-
29,2,5,-,-,-,-,-,-,-
28,2,5,-,-,-,-,-,-,-
27,2,5,-,-,-,-,-,-,-
26,2,5,-,-,-,-,-,-,-
25,2,5,-,-,-,-,-,-,-
24,2,5,-,-,-,-,-,-,-
23,2,5,-,-,-,-,-,-,-
22,2,5,-,-,-,-,-,-,-
21,2,5,-,-,-,-,-,-,-
20,2,5,-,-,-,-,-,-,-
19,2,5,-,-,-,-,-,-,-
18,2,5,-,-,-,-,-,-,-
17,2,5,-,-,-,-,-,-,-
16,2,5,-,-,-,-,-,-,-
15,2,5,-,-,-,-,-,-,-
14,2,5,-,-,-,-,-,-,-
13,2,5,-,-,-,-,-,-,-
12,2,5,-,-,-,-,-,-,-
11,2,5,-,-,-,-,-,-,-
10,2,5,-,-,-,-,-,-,-
9,2,5,-,-,-,-,-,-,-
8,2,5,-,-,-,-,-,-,-
7,2,5,-,-,-,-,-,-,-
6,2,5,-,-,-,-,-,-,-
5,2,5,-,-,-,-,-,-,-
4,2,5,-,-,-,-,-,-,-
3,2,5,-,-,-,-,-,-,-
2,2,5,-,-,-,-,-,-,-
1,2,5,-,-,-,-,-,-,-
52,3,1,-,-,-,-,-,-,-
49,3,1,-,-,-,-,-,-,-
45,3,1,-,-,-,-,-,-,-
57,3,2,-,-,-,-,-,-,-
56,3,2,-,-,-,-,-,-,-
55,3,2,-,-,-,-,-,-,-
54,3,2,-,-,-,-,-,-,-
53,3,2,-,-,-,-,-,-,-
52,3,2,-,-,-,-,-,-,-
57,3,3,-,-,-,-,-,-,-
56,3,3,-,-,-,-,-,-,-
55,3,3,-,-,-,-,-,-,-
54,3,3,-,-,-,-,-,-,-
53,3,3,-,-,-,-,-,-,-
52,3,3,-,-,-,-,-,-,-
57,3,4,-,-,-,-,-,-,-
56,3,4,-,-,-,-,-,-,-
55,3,4,-,-,-,-,-,-,-
54,3,4,-,-,-,-,-,-,-
53,3,4,-,-,-,-,-,-,-
52,3,4,-,-,-,-,-,-,-
51,3,4,-,-,-,-,-,-,-
57,3,5,-,-,-,-,-,-,-
56,3,5,-,-,-,-,-,-,-
55,3,5,-,-,-,-,-,-,-
54,3,5,-,-,-,-,-,-,-
53,3,5,-,-,-,-,-,-,-
52,3,5,-,-,-,-,-,-,-
57,3,6,-,-,-,-,-,-,-
56,3,6,-,-,-,-,-,-,-
55,3,6,-,-,-,-,-,-,-
54,3,6,-,-,-,-,-,-,-
53,3,6,-,-,-,-,-,-,-
52,3,6,-,-,-,-,-,-,-
52,4,1,-,-,-,-,-,-,-
52,4,3,-,-,-,-,-,-,-
52,4,4,-,-,-,-,-,-,-
51,4,4,-,-,-,-,-,-,-
24,4,4,-,-,-,-,-,-,-
52,4,5,-,-,-,-,-,-,-
51,4,5,-,-,-,-,-,-,-
52,4,6,-,-,-,-,-,-,-
51,4,6,-,-,-,-,-,-,-
50,4,6,-,-,-,-,-,-,-
54,5,2,-,-,-,-,-,-,-
53,5,2,-,-,-,-,-,-,-
54,5,3,-,-,-,-,-,-,-
53,5,3,-,-,-,-,-,-,-
52,5,3,-,-,-,-,-,-,-
54,5,4,-,-,-,-,-,-,-
53,5,4,-,-,-,-,-,-,-
54,5,5,-,-,-,-,-,-,-
53,5,5,-,-,-,-,-,-,-
52,5,5,-,-,-,-,-,-,-
51,5,5,-,-,-,-,-,-,-
54,5,6,-,-,-,-,-,-,-
53,5,6,-,-,-,-,-,-,-
52,5,6,-,-,-,-,-,-,-
57,6,1,-,-,-,-,-,-,-
56,6,1,-,-,-,-,-,-,-
55,6,1,-,-,-,-,-,-,-
54,6,1,-,-,-,-,-,-,-
57,6,2,-,-,-,-,-,-,-
56,6,2,-,-,-,-,-,-,-
55,6,2,-,-,-,-,-,-,-
54,6,2,-,-,-,-,-,-,-
53,6,2,-,-,-,-,-,-,-
57,6,3,-,-,-,-,-,-,-
56,6,3,-,-,-,-,-,-,-
55,6,3,-,-,-,-,-,-,-
54,6,3,-,-,-,-,-,-,-
57,6,4,-,-,-,-,-,-,-
56,6,4,-,-,-,-,-,-,-
55,6,4,-,-,-,-,-,-,-
54,6,4,-,-,-,-,-,-,-
53,6,4,-,-,-,-,-,-,-
52,6,4,-,-,-,-,-,-,-
44,6,5,-,-,-,-,-,-,-
57,6,6,-,-,-,-,-,-,-
56,6,6,-,-,-,-,-,-,-
55,6,6,-,-,-,-,-,-,-
54,6,6,-,-,-,-,-,-,-
53,6,6,-,-,-,-,-,-,-
31,4,1,-,-,-,-,-,-,-
48,5,1,-,-,-,-,-,-,-
23,5,1,-,-,-,-,-,-,-
17,5,4,-,-,-,-,-,-,-
26,5,5,-,-,-,-,-,-,-
4,4,2,-,-,-,-,-,-,-
35,1,2,-,-,-,-,-,-,-
18,2,4,-,-,-,-,-,-,-
5,3,6,-,-,-,-,-,-,-
31,2,6,,,,O_S,O_S,O_S,O_S
37,2,6,,,,O_S,O_S,O_S,O_S
36,2,6,,,,O_S,O_S,O_S,O_S
34,2,6,,,,O_S,O_S,O_S,O_S
32,2,6,,,,O_S,O_S,O_S,O_S
29,2,6,,,,O_S,O_S,O_S,O_S
27,2,6,,,,O_S,O_S,O_S,O_S
26,2,6,,,,O_S,O_S,O_S,O_S
24,2,6,,,,O_S,O_S,O_S,O_S
23,2,6,,,,O_S,O_S,O_S,O_S
36,1,2,,CT_S,CT_S,CT_S,CT_S,CT_D,CT_D
19,1,2,,,CT_S,CT_S,CT_S,CT_S,CT_D
2,1,2,,CT_S,CT_S,CT_S,CT_S,CT_S,CT_D
1,1,2,,CT_S,CT_S,CT_S,CT_S,CT_S,CT_D
37,1,2,,CT_S,CT_S,CT_D,CT_D,CT_D,CT_D
