,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
07/18/17,8,1,0,0,0,0,0,4,3,0,3,0,0,0,0,13,17
07/18/17,7,0,1,0,1,0,2,3,5,1,0,1,0,0,0,6,8
07/18/17,6,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2,2
07/18/17,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2
07/18/17,4,1,0,1,13,0,9,10,2,3,9,1,5,,,,
07/18/17,3,1,0,4,22,2,0,6,0,5,16,3,6,,,,
07/18/17,2,0,0,8,9,2,4,2,0,0,0,9,2,,,,
07/18/17,1,0,0,3,0,0,8,3,0,0,5,2,0,,,,
07/24/17,8,0,0,0,0,0,0,1,0,0,16,0,0,1,0,13,17
07/24/17,7,0,1,0,2,0,11,3,1,0,16,6,1,6,0,6,9
07/24/17,6,1,2,3,0,0,0,3,2,2,5,1,0,12,5,5,7
07/24/17,5,8,2,0,1,0,0,2,0,0,0,3,0,6,4,9,13
07/24/17,4,0,1,2,0,0,10,1,2,0,6,1,5,,,,
07/24/17,3,1,0,4,13,6,9,0,2,0,1,8,3,,,,
07/24/17,2,2,3,9,44,1,0,3,8,2,1,12,3,,,,
07/24/17,1,6,6,14,5,2,16,3,11,4,1,2,11,,,,
07/31/17,8,0,0,0,3,0,0,0,3,0,3,3,1,0,0,13,17
07/31/17,7,1,0,0,5,1,11,0,4,8,4,8,3,1,0,7,9
07/31/17,6,3,4,5,5,0,0,0,2,2,5,2,3,2,2,12,7
07/31/17,5,6,6,3,4,2,4,3,9,3,6,5,5,3,12,18,17
07/31/17,4,3,7,4,4,0,10,4,2,0,9,3,2,,,,
07/31/17,3,1,1,8,19,6,9,2,0,1,16,19,3,,,,
07/31/17,2,5,4,14,42,2,0,10,2,11,17,23,11,,,,
07/31/17,1,8,6,16,6,2,16,12,7,3,12,1,15,,,,
08/07/17,8,1,0,0,3,0,0,1,2,4,3,3,2,0,0,13,1
08/07/17,7,3,1,0,0,0,0,0,0,0,4,8,1,0,0,1,1
08/07/17,6,6,6,0,2,1,2,3,5,0,5,2,2,0,0,7,0
08/07/17,5,10,7,1,5,0,0,1,1,0,6,5,1,0,0,5,17
08/07/17,4,5,13,13,1,2,10,4,0,2,11,3,2,,,,
08/07/17,3,1,1,5,16,3,9,0,0,0,0,19,2,,,,
08/07/17,2,5,4,12,30,0,0,10,0,11,19,23,11,,,,
08/07/17,1,8,10,27,5,0,16,8,7,6,2,1,13,,,,
08/14/17,8,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2
08/14/17,7,3,0,0,4,1,2,2,2,8,2,3,2,2,0,3,0
08/14/17,6,6,5,6,5,0,0,0,1,1,6,0,0,1,6,6,4
08/14/17,5,10,4,3,3,0,3,0,2,0,1,1,0,2,5,7,6
08/14/17,4,5,1,4,1,1,14,3,2,1,2,1,1,,,,
08/14/17,3,4,3,19,25,5,12,0,1,0,0,20,0,,,,
08/14/17,2,5,4,8,30,3,4,8,3,12,28,17,3,,,,
08/14/17,1,10,10,40,18,2,20,12,3,6,19,4,14,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
