date,exp_unit,trt,plots,block,trt_let,cultivar,graft,inoculum,disease_score,sclerotia
2017-06-23,81,4,101,1,D,8504,Maxi,0,0,0
2017-06-23,25,12,102,1,L,5608,Maxi,0,0,0
2017-06-23,17,11,103,1,K,5608,Maxi,20,0,0
2017-06-23,5,1,104,1,A,8504,Maxi,5,0,0
2017-06-23,68,2,105,1,B,8504,Maxi,10,3,6
2017-06-23,117,8,106,1,H,8504,none,0,0,0
2017-06-23,104,6,107,1,F,8504,none,10,0,0
2017-06-23,128,9,108,1,I,5608,Maxi,5,0,0
2017-06-23,48,14,109,1,N,5608,none,10,0,0
2017-06-23,64,16,110,1,P,5608,none,0,0,0
2017-06-23,75,3,111,1,C,8504,Maxi,20,0,0
2017-06-23,111,7,112,1,G,8504,none,20,0,0
2017-06-23,55,15,113,1,O,5608,none,20,0,0
2017-06-23,96,5,114,1,E,8504,none,5,0,0
2017-06-23,37,13,115,1,M,5608,none,5,5,7
2017-06-23,13,10,116,1,J,5608,Maxi,10,0,0
2017-06-23,107,7,201,2,G,8504,none,20,0,0
2017-06-23,66,2,202,2,B,8504,Maxi,10,0,0
2017-06-23,28,12,203,2,L,5608,Maxi,0,0,0
2017-06-23,125,9,204,2,I,5608,Maxi,5,0,0
2017-06-23,11,10,205,2,J,5608,Maxi,10,0,0
2017-06-23,21,11,206,2,K,5608,Maxi,20,4,12
2017-06-23,46,14,207,2,N,5608,none,10,0,0
2017-06-23,33,13,208,2,M,5608,none,5,2,0
2017-06-23,77,3,209,2,C,8504,Maxi,20,4,1
2017-06-23,95,5,210,2,E,8504,none,5,0,0
2017-06-23,52,15,211,2,O,5608,none,20,0,0
2017-06-23,7,1,212,2,A,8504,Maxi,5,0,0
2017-06-23,115,8,213,2,H,8504,none,0,0,0
2017-06-23,98,6,214,2,F,8504,none,10,3,0
2017-06-23,88,4,215,2,D,8504,Maxi,0,0,0
2017-06-23,61,16,216,2,P,5608,none,0,0,0
2017-06-23,92,5,301,3,E,8504,none,5,0,0
2017-06-23,74,3,302,3,C,8504,Maxi,20,4,8
2017-06-23,124,9,303,3,I,5608,Maxi,5,0,0
2017-06-23,1,1,304,3,A,8504,Maxi,5,0,0
2017-06-23,49,15,305,3,O,5608,none,20,0,0
2017-06-23,99,6,306,3,F,8504,none,10,0,0
2017-06-23,105,7,307,3,G,8504,none,20,3,0
2017-06-23,44,14,308,3,N,5608,none,10,0,0
2017-06-23,24,11,309,3,K,5608,Maxi,20,0,0
2017-06-23,14,10,310,3,J,5608,Maxi,10,0,0
2017-06-23,63,16,311,3,P,5608,none,0,0,0
2017-06-23,26,12,312,3,L,5608,Maxi,0,0,0
2017-06-23,67,2,313,3,B,8504,Maxi,10,6,0
2017-06-23,114,8,314,3,H,8504,none,0,0,0
2017-06-23,36,13,315,3,M,5608,none,5,0,0
2017-06-23,83,4,316,3,D,8504,Maxi,0,0,0
2017-06-23,4,1,401,4,A,8504,Maxi,5,4,7
2017-06-23,10,10,402,4,J,5608,Maxi,10,0,0
2017-06-23,45,14,403,4,N,5608,none,10,0,0
2017-06-23,90,5,404,4,E,8504,none,5,0,0
2017-06-23,71,2,405,4,B,8504,Maxi,10,0,0
2017-06-23,31,12,406,4,L,5608,Maxi,0,0,0
2017-06-23,51,15,407,4,O,5608,none,20,0,1
2017-06-23,38,13,408,4,M,5608,none,5,0,0
2017-06-23,60,16,409,4,P,5608,none,0,0,0
2017-06-23,102,6,410,4,F,8504,none,10,0,0
2017-06-23,22,11,411,4,K,5608,Maxi,20,4,4
2017-06-23,110,7,412,4,G,8504,none,20,2,7
2017-06-23,113,8,413,4,H,8504,none,0,0,0
2017-06-23,79,3,414,4,C,8504,Maxi,20,4,8
2017-06-23,85,4,415,4,D,8504,Maxi,0,0,0
2017-06-23,121,9,416,4,I,5608,Maxi,5,0,0
2017-06-23,34,13,501,5,M,5608,none,5,0,0
2017-06-23,87,4,502,5,D,8504,Maxi,0,0,0
2017-06-23,19,11,503,5,K,5608,Maxi,20,4,10
2017-06-23,29,12,504,5,L,5608,Maxi,0,0,0
