#,"Date Time, GMT -0700","Temp, °F","Temp - Avg, °F","RH, %","RH - Avg, %","DewPt, °F"
1,2019-06-03 14:56:51,76.78,76.78,48.97,48.97,56.20
2,2019-06-03 15:06:51,88.52,83.96,40.22,45.30,61.30
3,2019-06-03 15:16:51,92.15,90.37,38.81,39.50,63.51
4,2019-06-03 15:26:51,93.93,92.61,36.49,38.51,63.33
5,2019-06-03 15:36:51,94.78,94.00,35.43,37.72,63.23
6,2019-06-03 15:46:51,94.85,94.70,36.06,36.69,63.80
7,2019-06-03 15:56:51,94.62,94.85,37.06,36.69,64.38
8,2019-06-03 16:06:51,94.93,94.70,36.06,37.19,63.87
9,2019-06-03 16:16:51,95.24,95.01,35.99,37.25,64.09
10,2019-06-03 16:26:51,95.16,95.32,37.09,36.86,64.88
11,2019-06-03 16:36:51,94.08,95.08,43.58,39.96,68.59
12,2019-06-03 16:46:51,93.93,94.00,36.76,39.14,63.53
13,2019-06-03 16:56:51,93.08,93.93,37.85,37.68,63.62
14,2019-06-03 17:06:51,92.23,93.00,39.20,39.56,63.87
15,2019-06-03 17:16:51,91.69,92.23,42.09,40.22,65.43
16,2019-06-03 17:26:51,90.84,91.61,44.98,41.56,66.58
17,2019-06-03 17:36:51,90.68,90.84,43.32,43.13,65.36
18,2019-06-03 17:46:51,90.22,90.68,45.40,41.99,66.29
19,2019-06-03 17:56:51,89.99,90.14,40.91,41.56,63.09
20,2019-06-03 18:06:51,90.06,89.99,47.30,44.75,67.34
21,2019-06-03 18:16:51,89.83,90.14,41.37,42.58,63.27
22,2019-06-03 18:26:51,89.22,89.83,42.93,42.97,63.78
23,2019-06-03 18:36:51,88.60,89.22,43.97,43.81,63.91
24,2019-06-03 18:46:51,88.44,88.52,47.72,46.79,66.12
25,2019-06-03 18:56:51,88.06,88.37,47.43,47.97,65.59
26,2019-06-03 19:06:51,87.13,88.06,48.87,48.45,65.61
27,2019-06-03 19:16:51,86.20,87.13,48.01,48.61,64.25
28,2019-06-03 19:26:51,86.51,86.13,51.16,49.19,66.37
29,2019-06-03 19:36:51,87.21,86.44,49.64,49.54,66.13
30,2019-06-03 19:46:51,87.67,87.21,47.85,48.01,65.49
31,2019-06-03 19:56:51,87.90,87.75,46.37,47.81,64.80
32,2019-06-03 20:06:51,87.13,87.83,44.49,46.11,62.92
33,2019-06-03 20:16:51,86.59,87.13,46.50,46.11,63.69
34,2019-06-03 20:26:51,86.67,86.51,49.16,48.84,65.35
35,2019-06-03 20:36:51,86.90,86.74,46.56,47.88,64.01
36,2019-06-03 20:46:51,87.13,86.98,47.11,47.52,64.55
37,2019-06-03 20:56:51,87.36,87.13,47.85,46.75,65.21
38,2019-06-03 21:06:51,87.36,87.29,46.85,46.33,64.61
39,2019-06-03 21:16:51,87.52,87.44,46.08,46.43,64.27
40,2019-06-03 21:26:51,87.52,87.59,46.82,46.37,64.73
41,2019-06-03 21:36:51,86.74,87.52,46.30,45.79,63.71
42,2019-06-03 21:46:51,86.13,86.74,47.75,46.53,64.03
43,2019-06-03 21:56:51,86.36,86.28,48.10,48.01,64.45
44,2019-06-03 22:06:51,86.51,86.28,46.27,46.88,63.48
45,2019-06-03 22:16:51,86.67,86.44,46.56,46.69,63.80
46,2019-06-03 22:26:51,86.90,86.67,45.98,46.43,63.65
47,2019-06-03 22:36:51,86.90,86.82,45.53,45.88,63.37
48,2019-06-03 22:46:51,86.98,86.90,46.04,45.69,63.76
49,2019-06-03 22:56:51,87.05,86.98,45.21,45.56,63.30
50,2019-06-03 23:06:51,86.98,86.98,45.46,45.43,63.40
51,2019-06-03 23:16:51,87.05,86.98,45.72,45.50,63.63
52,2019-06-03 23:26:51,86.98,86.98,45.27,45.69,63.27
53,2019-06-03 23:36:51,87.05,87.05,45.46,45.85,63.47
54,2019-06-03 23:46:51,87.05,86.98,46.24,45.66,63.95
55,2019-06-03 23:56:51,86.98,87.05,46.75,45.75,64.20
56,2019-06-04 0:06:51,86.90,87.05,45.27,46.17,63.20
57,2019-06-04 0:16:51,86.90,87.05,46.04,45.69,63.69
58,2019-06-04 0:26:51,86.98,86.90,46.24,45.75,63.88
59,2019-06-04 0:36:51,86.98,87.05,46.24,45.92,63.88
60,2019-06-04 0:46:51,86.90,86.90,46.04,45.72,63.69
61,2019-06-04 0:56:51,86.90,86.90,46.50,45.95,63.97
62,2019-06-04 1:06:51,86.90,86.90,46.82,45.53,64.17
63,2019-06-04 1:16:51,86.90,86.90,45.53,45.72,63.37
64,2019-06-04 1:26:51,86.74,86.74,45.17,45.98,63.00
65,2019-06-04 1:36:51,86.67,86.74,44.72,45.59,62.65
66,2019-06-04 1:46:51,86.74,86.67,45.79,45.63,63.39
67,2019-06-04 1:56:51,86.90,86.67,45.27,45.30,63.20
68,2019-06-04 2:06:51,86.90,86.90,45.27,45.46,63.20
69,2019-06-04 2:16:51,87.05,86.82,45.53,46.14,63.51
70,2019-06-04 2:26:51,87.21,87.05,45.27,45.98,63.48
71,2019-06-04 2:36:51,87.29,87.21,45.82,46.14,63.90
72,2019-06-04 2:46:51,87.44,87.29,45.50,46.17,63.84
73,2019-06-04 2:56:51,87.44,87.36,44.98,45.66,63.51
74,2019-06-04 3:06:51,87.52,87.44,45.50,45.53,63.91
75,2019-06-04 3:16:51,87.59,87.52,44.72,45.17,63.48
76,2019-06-04 3:26:51,87.59,87.67,46.27,45.17,64.46
77,2019-06-04 3:36:51,87.67,87.67,45.24,46.01,63.88
78,2019-06-04 3:46:51,87.83,87.67,45.04,45.27,63.90
79,2019-06-04 3:56:51,87.83,87.83,45.79,45.37,64.37
80,2019-06-04 4:06:51,87.90,87.83,45.53,45.37,64.28
81,2019-06-04 4:16:51,88.06,87.98,44.46,45.30,63.74
82,2019-06-04 4:26:51,88.06,87.98,46.66,45.50,65.12
83,2019-06-04 4:36:51,87.90,88.06,45.79,45.63,64.44
84,2019-06-04 4:46:51,87.21,87.98,44.17,45.50,62.78
85,2019-06-04 4:56:51,86.36,87.13,48.61,46.14,64.75
86,2019-06-04 5:06:51,86.36,86.28,46.01,47.43,63.18
87,2019-06-04 5:16:51,86.67,86.44,45.69,45.95,63.26
88,2019-06-04 5:26:51,86.98,86.67,45.46,46.01,63.40
89,2019-06-04 5:36:51,87.21,86.98,45.72,46.14,63.77
90,2019-06-04 5:46:51,87.36,87.13,46.33,45.79,64.29
91,2019-06-04 5:56:51,87.44,87.36,46.79,45.66,64.64
92,2019-06-04 6:06:51,87.59,87.52,45.30,46.04,63.85
93,2019-06-04 6:16:51,87.83,87.67,46.37,45.82,64.73
