#,"Date Time, GMT -0700","Temp, °F","Temp - Avg, °F","RH, %","RH - Avg, %","DewPt, °F"
1,2018-06-07 9:00:00,72.92,72.92,52.21,52.21,54.41
2,2018-06-07 9:10:00,73.00,72.92,52.24,52.21,54.50
3,2018-06-07 9:20:00,73.08,73.00,52.24,52.24,54.57
4,2018-06-07 9:30:00,73.15,73.00,52.21,52.21,54.62
5,2018-06-07 9:40:00,73.23,73.15,51.99,52.24,54.58
6,2018-06-07 9:50:00,73.23,73.23,52.21,52.08,54.70
7,2018-06-07 10:00:00,73.31,73.23,52.27,52.08,54.80
8,2018-06-07 10:10:00,73.39,73.31,52.24,52.27,54.86
9,2018-06-07 10:20:00,73.46,73.39,52.27,52.24,54.94
10,2018-06-07 10:30:00,73.54,73.46,52.24,52.27,55.00
11,2018-06-07 10:40:00,73.62,73.54,52.24,52.27,55.07
12,2018-06-07 10:50:00,73.69,73.62,52.27,52.30,55.16
13,2018-06-07 11:00:00,73.77,73.69,52.27,52.24,55.23
14,2018-06-07 11:10:00,73.85,73.85,52.27,52.30,55.30
15,2018-06-07 11:20:00,74.00,73.85,52.30,52.27,55.46
16,2018-06-07 11:30:00,74.08,74.00,52.05,52.27,55.40
17,2018-06-07 11:40:00,74.31,74.16,52.05,52.11,55.61
18,2018-06-07 11:50:00,74.31,74.23,51.83,52.08,55.49
19,2018-06-07 12:00:00,74.47,74.39,52.30,51.80,55.89
20,2018-06-07 12:10:00,74.62,74.54,51.58,51.96,55.64
21,2018-06-07 12:20:00,74.78,74.70,51.10,51.42,55.53
22,2018-06-07 12:30:00,74.78,74.70,50.81,51.10,55.38
23,2018-06-07 12:40:00,74.93,74.85,50.37,50.56,55.27
24,2018-06-07 12:50:00,75.01,74.93,49.80,50.27,55.03
25,2018-06-07 13:00:00,75.16,75.01,48.84,49.38,54.64
26,2018-06-07 13:10:00,75.24,75.08,48.10,48.52,54.29
27,2018-06-07 13:20:00,75.32,75.24,47.27,47.81,53.88
28,2018-06-07 13:30:00,75.32,75.32,46.82,47.11,53.62
29,2018-06-07 13:40:00,75.47,75.32,46.75,46.75,53.73
30,2018-06-07 13:50:00,75.62,75.55,46.79,46.75,53.88
31,2018-06-07 14:00:00,75.62,75.62,46.59,46.69,53.77
32,2018-06-07 14:10:00,75.86,75.70,46.08,46.17,53.68
33,2018-06-07 14:20:00,75.86,75.78,45.50,46.01,53.33
34,2018-06-07 14:30:00,75.86,75.86,45.50,45.56,53.33
35,2018-06-07 14:40:00,76.01,75.86,45.75,45.43,53.63
36,2018-06-07 14:50:00,76.09,75.93,45.27,45.33,53.41
37,2018-06-07 15:00:00,76.17,76.01,45.53,45.27,53.63
38,2018-06-07 15:10:00,76.17,76.17,45.85,45.72,53.82
39,2018-06-07 15:20:00,76.24,76.24,45.53,45.79,53.70
40,2018-06-07 15:30:00,76.32,76.32,45.33,45.53,53.65
41,2018-06-07 15:40:00,76.40,76.40,45.01,45.43,53.53
42,2018-06-07 15:50:00,76.40,76.47,44.75,45.08,53.37
43,2018-06-07 16:00:00,76.55,76.47,44.27,44.75,53.21
44,2018-06-07 16:10:00,76.55,76.55,43.81,44.10,52.93
45,2018-06-07 16:20:00,76.71,76.55,43.03,43.55,52.58
46,2018-06-07 16:30:00,76.71,76.63,42.77,43.03,52.42
47,2018-06-07 16:40:00,76.78,76.71,42.15,42.64,52.09
48,2018-06-07 16:50:00,76.78,76.71,41.69,41.92,51.79
49,2018-06-07 17:00:00,76.94,76.78,41.69,41.73,51.93
50,2018-06-07 17:10:00,76.94,76.94,41.73,41.76,51.95
51,2018-06-07 17:20:00,76.86,76.86,41.89,41.92,51.99
52,2018-06-07 17:30:00,76.94,76.94,42.15,41.96,52.23
53,2018-06-07 17:40:00,76.94,76.94,42.25,42.05,52.29
54,2018-06-07 17:50:00,76.86,76.94,42.25,42.18,52.22
55,2018-06-07 18:00:00,76.78,76.94,42.51,42.45,52.32
56,2018-06-07 18:10:00,76.94,76.94,42.45,42.45,52.42
57,2018-06-07 18:20:00,76.86,76.78,42.51,42.51,52.39
58,2018-06-07 18:30:00,76.78,76.78,42.25,42.45,52.15
59,2018-06-07 18:40:00,76.71,76.78,42.15,42.35,52.02
60,2018-06-07 18:50:00,76.71,76.71,42.45,42.02,52.21
61,2018-06-07 19:00:00,76.71,76.71,42.71,42.58,52.38
62,2018-06-07 19:10:00,76.71,76.71,42.15,42.54,52.02
63,2018-06-07 19:20:00,76.55,76.71,41.92,42.15,51.73
64,2018-06-07 19:30:00,76.63,76.63,41.69,41.69,51.65
65,2018-06-07 19:40:00,76.55,76.63,41.37,41.63,51.37
66,2018-06-07 19:50:00,76.55,76.55,41.37,41.47,51.37
67,2018-06-07 20:00:00,76.47,76.47,41.40,41.47,51.32
68,2018-06-07 20:10:00,76.40,76.47,41.34,41.37,51.21
69,2018-06-07 20:20:00,76.40,76.40,41.60,41.37,51.38
70,2018-06-07 20:30:00,76.32,76.40,41.60,41.53,51.31
71,2018-06-07 20:40:00,76.24,76.32,41.60,41.53,51.24
72,2018-06-07 20:50:00,76.24,76.24,41.37,41.43,51.10
73,2018-06-07 21:00:00,76.09,76.24,41.40,41.40,50.98
74,2018-06-07 21:10:00,76.09,76.09,41.40,41.40,50.98
75,2018-06-07 21:20:00,76.01,76.09,41.66,41.50,51.08
76,2018-06-07 21:30:00,75.93,76.01,41.89,41.66,51.16
77,2018-06-07 21:40:00,75.93,76.01,42.18,41.96,51.35
78,2018-06-07 21:50:00,76.01,75.93,42.67,42.32,51.73
79,2018-06-07 22:00:00,75.93,75.93,42.90,42.67,51.80
80,2018-06-07 22:10:00,75.86,75.93,43.49,43.00,52.10
81,2018-06-07 22:20:00,75.78,75.86,43.68,43.49,52.15
82,2018-06-07 22:30:00,75.78,75.86,43.94,43.71,52.31
83,2018-06-07 22:40:00,75.70,75.78,44.20,43.97,52.40
84,2018-06-07 22:50:00,75.62,75.70,44.46,44.23,52.49
85,2018-06-07 23:00:00,75.70,75.70,44.72,44.62,52.72
86,2018-06-07 23:10:00,75.70,75.70,45.04,44.72,52.92
87,2018-06-07 23:20:00,75.62,75.70,45.24,45.01,52.97
88,2018-06-07 23:30:00,75.55,75.55,45.46,45.30,53.03
89,2018-06-07 23:40:00,75.47,75.55,45.79,45.50,53.15
90,2018-06-07 23:50:00,75.47,75.55,46.04,45.79,53.31
91,2018-06-08 0:00:00,75.47,75.55,46.24,46.21,53.42
92,2018-06-08 0:10:00,75.39,75.47,46.24,46.24,53.35
93,2018-06-08 0:20:00,75.32,75.39,46.50,46.30,53.43
94,2018-06-08 0:30:00,75.32,75.32,46.50,46.50,53.43
95,2018-06-08 0:40:00,75.32,75.32,46.56,46.56,53.47
96,2018-06-08 0:50:00,75.16,75.24,46.50,46.53,53.29
97,2018-06-08 1:00:00,75.16,75.24,46.50,46.50,53.29
98,2018-06-08 1:10:00,75.16,75.16,46.56,46.53,53.33
99,2018-06-08 1:20:00,75.08,75.16,46.46,46.56,53.20
100,2018-06-08 1:30:00,75.01,75.08,46.46,46.46,53.13
101,2018-06-08 1:40:00,75.01,75.08,46.46,46.46,53.13
102,2018-06-08 1:50:00,74.93,75.01,46.53,46.46,53.10
103,2018-06-08 2:00:00,74.93,75.01,46.79,46.66,53.25
104,2018-06-08 2:10:00,74.85,74.93,47.04,46.91,53.33
105,2018-06-08 2:20:00,74.85,74.78,46.98,47.04,53.29
106,2018-06-08 2:30:00,74.78,74.78,46.98,46.98,53.22
107,2018-06-08 2:40:00,74.70,74.85,47.04,46.98,53.19
108,2018-06-08 2:50:00,74.70,74.78,47.24,47.24,53.30
109,2018-06-08 3:00:00,74.70,74.70,47.30,47.24,53.34
110,2018-06-08 3:10:00,74.62,74.62,47.20,47.27,53.21
111,2018-06-08 3:20:00,74.54,74.62,47.20,47.24,53.14
112,2018-06-08 3:30:00,74.47,74.54,47.20,47.20,53.07
113,2018-06-08 3:40:00,74.47,74.47,47.46,47.24,53.22
114,2018-06-08 3:50:00,74.39,74.47,47.27,47.49,53.04
115,2018-06-08 4:00:00,74.31,74.47,47.52,47.27,53.12
116,2018-06-08 4:10:00,74.23,74.23,47.43,47.49,52.99
117,2018-06-08 4:20:00,74.23,74.23,47.43,47.43,52.99
118,2018-06-08 4:30:00,74.08,74.16,47.49,47.43,52.89
119,2018-06-08 4:40:00,74.16,74.08,47.49,47.49,52.96
120,2018-06-08 4:50:00,74.08,74.08,47.43,47.49,52.85
121,2018-06-08 5:00:00,74.00,74.00,47.43,47.43,52.78
122,2018-06-08 5:10:00,73.93,74.00,47.69,47.49,52.85
123,2018-06-08 5:20:00,73.85,73.93,47.75,47.69,52.82
124,2018-06-08 5:30:00,73.77,73.85,47.97,47.94,52.88
125,2018-06-08 5:40:00,73.77,73.77,47.91,47.94,52.84
126,2018-06-08 5:50:00,73.69,73.77,47.97,47.91,52.81
127,2018-06-08 6:00:00,73.69,73.69,47.97,47.97,52.81
128,2018-06-08 6:10:00,73.62,73.62,48.17,48.01,52.85
129,2018-06-08 6:20:00,73.62,73.62,48.17,48.17,52.85
130,2018-06-08 6:30:00,73.54,73.54,48.23,48.17,52.81
131,2018-06-08 6:40:00,73.54,73.54,48.23,48.23,52.81
