block,plant,plot_num,A,B,C,D,flag_edited,A_,B_,C_,D_
5,33,4,CT_S,CT_S,CT_S,CT_S,,CT,CT,CT,H
5,34,4,CT_S,CT_S,CT_S,CT_S,,CT,CT,CT,H
1,35,4,CT_S,CT_S,CT_S,CT_S,,CT,CT,CT,SB
1,39,1,CT_S,CT_S,CT_S,CT_S,,CT,CT,CT,SB
1,4,6,V_S,V_S,V_S,V_S,,CT,CT,CT,V
4,10,1,V_S,V_S,V_S,V_S,,CT,CT,CT,V
4,12,6,V_S,V_S,V_S,V_S,,CT,CT,H_H,V
6,28,6,SB_S,SB_S,SB_S,SB_S,,CT,CT,SB,WE
3,40,5,V_S,V_S,V_S,H_H,,CT,CT,V,H_H
2,16,2,V_S,V_S,V_S,V_S,,CT,CT,V,V
2,35,2,V_S,V_S,V_S,V_S,,CT,CT,V,V
2,42,6,V_S,V_S,V_S,V_S,,CT,CT,V,V
4,46,1,V_S,V_S,V_S,V_S,,CT,CT,V,V
6,36,1,V_S,V_S,V_S,V_S,,CT,CT,V,V
3,29,2,CT_S,H_H,H_H,H_H,,CT,H_H,H_H,H_H
4,35,1,CT_S,H_H,H_H,H_H,,CT,H_H,H_H,H_H
4,45,2,CT_S,H_H,H_H,H_H,,CT,H_H,H_H,H_H
3,28,2,CT_S,H_H,H_H,O_S,,CT,H_H,H_H,WE
6,16,1,V_S,V_S,V_S,V_S,,CT,H_H,V,V
2,38,5,SB_S,SB_S,H_H,H_H,,CT,SB,H_H,H_H
2,38,1,SB_S,SB_S,SB_S,SB_D,,CT,SB,SB,D
4,10,3,SB_S,SB_S,SB_S,SB_D,,CT,SB,SB,D
4,11,2,V_S,V_S,V_S,V_S,,CT,V,V,V
4,24,3,V_S,V_S,V_S,V_S,,CT,V,V,V
4,27,5,O_S,O_S,O_S,O_S,,CT,WE,WE,WE
1,35,1,O_D,O_D,O_D,O_D,,D,H_H,D,D
1,44,1,H_H,CT_S,CT_S,CT_S,,H_H,CT,CT,SB
4,13,1,H_H,CT_S,CT_S,CT_S,,H_H,CT,CT,V
1,5,2,H_H,CT_S,CT_S,CT_S,,H_H,CT,CT,WE
1,28,5,H_H,CT_S,CT_S,CT_S,,H_H,CT,CT,WE
2,10,1,H_H,CT_S,CT_S,CT_S,,H_H,CT,CT,WE
2,28,1,H_H,CT_S,CT_S,CT_S,,H_H,CT,CT,WE
6,32,4,H_H,CT_S,CT_S,CT_S,,H_H,CT,CT,WE
1,24,3,H_H,H_H,H_H,H_H,,H_H,CT,H_H,H_H
3,24,6,H_H,H_H,H_H,H_H,,H_H,CT,H_H,H_H
6,36,4,H_H,H_H,H_H,H_H,,H_H,CT,H_H,H_H
6,40,6,H_H,H_H,H_H,H_H,,H_H,CT,H_H,H_H
1,48,1,H_H,SB_S,SB_S,SB_S,,H_H,CT,SB,SB
3,41,5,H_H,V_S,V_S,H_H,,H_H,CT,V,H_H
1,43,3,H_H,V_S,V_S,V_S,,H_H,CT,V,V
2,34,2,H_H,V_S,V_S,V_S,,H_H,CT,V,V
4,19,2,H_H,V_S,V_S,V_S,,H_H,CT,V,V
4,21,2,H_H,V_S,V_S,V_S,,H_H,CT,V,V
6,23,6,H_H,V_S,V_S,V_S,,H_H,CT,V,V
6,1,3,H_H,CT_S,CT_S,CT_S,,H_H,CT,WE,WE
6,41,4,H_H,CT_S,CT_S,CT_S,,H_H,CT,WE,WE
3,39,2,H_H,O_D,O_D,O_D,,H_H,D,D,D
4,37,4,H_H,O_S,O_S,O_S,,H_H,H,H,H
4,17,3,H_H,H_H,CT_S,CT_D,,H_H,H_H,CT,D
4,18,3,H_H,H_H,CT_S,CT_D,,H_H,H_H,CT,D
4,2,6,H_H,H_H,CT_S,CT_S,,H_H,H_H,CT,H
4,3,6,H_H,H_H,CT_S,CT_S,,H_H,H_H,CT,H
1,42,5,H_H,H_H,SB_S,SB_S,,H_H,H_H,CT,SB
4,6,4,H_H,H_H,V_S,V_S,,H_H,H_H,CT,V
1,1,5,H_H,H_H,CT_S,CT_S,,H_H,H_H,CT,WE
1,9,5,H_H,H_H,CT_S,CT_S,,H_H,H_H,CT,WE
1,45,5,H_H,H_H,CT_S,CT_S,,H_H,H_H,CT,WE
2,3,1,H_H,H_H,CT_S,CT_S,,H_H,H_H,CT,WE
2,5,3,H_H,H_H,H_H,CT_S,,H_H,H_H,H_H,CT
2,14,6,H_H,H_H,H_H,CT_S,,H_H,H_H,H_H,CT
4,2,5,H_H,H_H,H_H,CT_S,,H_H,H_H,H_H,CT
6,36,6,H_H,H_H,H_H,CT_S,,H_H,H_H,H_H,CT
4,30,2,H_H,H_H,H_H,CT_S,,H_H,H_H,H_H,CV
3,28,5,H_H,H_H,H_H,H_H,,H_H,H_H,S,H_H
1,18,5,H_H,H_H,SB_S,SB_S,,H_H,H_H,SB,WE
1,15,6,H_H,H_H,H_H,H_H,,H_H,H_H,V,H_H
3,35,5,H_H,H_H,H_H,H_H,,H_H,H_H,V,H_H
6,23,3,H_H,H_H,CT_S,CT_S,,H_H,H_H,WE,CT
5,30,6,H_H,H_H,O_S,O_D,,H_H,H_H,WE,D
5,35,4,H_H,H_H,O_S,O_S,,H_H,H_H,WE,H
5,36,4,H_H,H_H,O_S,O_S,,H_H,H_H,WE,H
5,37,4,H_H,H_H,O_S,O_S,,H_H,H_H,WE,H
5,38,4,H_H,H_H,O_S,O_S,,H_H,H_H,WE,H
5,39,4,H_H,H_H,O_S,O_S,,H_H,H_H,WE,H
3,34,5,H_H,H_H,H_H,H_H,,H_H,H_H,WE,H_H
6,10,5,H_H,H_H,SB_S,SB_S,,H_H,H_H,WE,SB
6,24,2,H_H,H_H,SB_S,SB_S,,H_H,H_H,WE,SB
6,25,2,H_H,H_H,SB_S,SB_S,,H_H,H_H,WE,SB
2,20,3,H_H,SB_S,SB_S,SB_S,,H_H,SB,SB,SB
2,30,1,H_H,SB_S,SB_S,SB_S,,H_H,SB,SB,SB
3,37,4,H_H,SB_S,SB_S,SB_S,,H_H,SB,SB,SB
6,37,5,H_H,SB_S,SB_S,SB_S,,H_H,SB,SB,SB
5,6,2,H_H,CT_S,CT_S,CT_S,,H_H,V,CT,CT
1,23,3,H_H,V_S,V_S,V_S,,H_H,V,CV,V
1,16,6,H_H,V_S,V_S,H_H,,H_H,V,V,H_H
